"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","17","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","32","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","32","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","50","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/MediaFrameworkUtilities/M_BaseMediaBundle.M_BaseMediaBundle","0","0","5","1","0.000000","0","0"
"/MediaFrameworkUtilities/M_DefaultMedia.M_DefaultMedia","0","0","5","1","0.000000","0","0"
"/InterchangeAssets/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","0","6","1","0.000000","0","0"
"/Game/Materials/glass.glass","0","0","3","1","0.000000","0","0"
"/Game/Materials/openPBR_shader1.openPBR_shader1","0","0","3","1","0.000000","0","0"
"/Game/Materials/M_Glow2.M_Glow2","0","0","3","1","0.000000","0","0"
"/Game/Characters/AlienSkins/RenderCams/M_DistortedCamera1.M_DistortedCamera1","0","0","12","1","0.000000","0","0"
"/Game/Characters/AlienSkins/RenderCams/RT_Rival2_Mat.RT_Rival2_Mat","0","0","12","1","0.000000","0","0"
"/Game/Materials/M_star.M_star","0","0","16","1","0.000000","0","0"
"/Game/Materials/M_Bounds8.M_Bounds8","0","0","16","1","0.000000","0","0"
"/Game/Materials/pasted__pasted__glass.pasted__pasted__glass","0","0","3","1","0.000000","0","0"
"/Game/Materials/pasted__pasted__whitecube.pasted__pasted__whitecube","0","0","3","1","0.000000","0","0"
"/Game/Characters/AlienSkins/RenderCams/RT_Rival1_Mat.RT_Rival1_Mat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial1.BlackUnlitMaterial1","0","0","9","1","0.000000","0","0"
"/Game/Materials/m_black.m_black","0","0","6","1","0.000000","0","0"
"/Game/Materials/whitecube.whitecube","0","0","6","1","0.000000","0","0"
"/Game/Materials/CustomizeBackground.CustomizeBackground","0","0","6","1","0.000000","0","0"
"/Game/Characters/Input/Maya/lambert2.lambert2","0","0","9","1","0.000000","0","0"
"/Game/Characters/Input/Maya/pasted__blinn4.pasted__blinn4","0","0","6","1","0.000000","0","0"
"/Game/Characters/Input/Maya/openPBR_shader1.openPBR_shader1","0","0","6","1","0.000000","0","0"
"/Game/Materials/M_Speedup.M_Speedup","0","0","8","1","0.000000","0","0"
"/Game/Materials/M_Bounds5.M_Bounds5","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BlinkingCaret.BlinkingCaret","0","0","5","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","120","6","0.000000","0","0"
"/Game/Maya/RivalSkin.RivalSkin","0","0","3","1","0.000000","0","0"
"/Game/Maya/RivalMouth.RivalMouth","0","0","3","1","0.000000","0","0"
"/Game/Maya/Teeth2.Teeth2","0","0","3","1","0.000000","0","0"
"/Game/Maya/Teeth.Teeth","0","0","3","1","0.000000","0","0"
"/Game/Maya/ShipRival2.ShipRival2","0","0","3","1","0.000000","0","0"
"/Game/Maya/Ship7.Ship7","0","0","3","1","0.000000","0","0"
"/Game/Maya/Ship6.Ship6","0","0","3","1","0.000000","0","0"
"/Game/Maya/Ship5.Ship5","0","0","3","1","0.000000","0","0"
